gutter.n.02	gutter
temple.n.01	temple
castaway.n.02	castaway
sweep.n.06	sweep
blocking.n.01	blocking
bill.n.01	bill
curtain.n.01	curtain
white.n.08	White
ending.n.04	ending
sector.n.04	sector
electric_organ.n.01	electric_organ
mutation.n.03	mutation
sort.n.02	sort
command.n.02	command
cut.n.02	cut
voice.n.06	voice
kin.n.02	kin
plate.n.13	plate
precipitation.n.03	precipitation
rank.n.01	rank
pot.n.03	pot
blow.n.01	blow
violence.n.01	violence
organ.n.01	organ
stretcher.n.01	stretcher
bell.n.06	Bell
fertilization.n.01	fertilization
bee.n.01	bee
loss.n.05	loss
toilet.n.01	toilet
cuttlefish.n.01	cuttlefish
wind.n.02	wind
ward.n.05	Ward
shop_class.n.01	shop_class
match.n.03	match
bill.n.04	bill
food.n.01	food
visit.n.03	visit
jaw.n.02	jaw
relationship.n.02	relationship
call.n.01	call
observer.n.02	observer
cowbell.n.01	cowbell
barbershop.n.01	barbershop
clutch.n.06	clutch
picking.n.01	picking
furnishing.n.01	furnishing
moneymaker.n.01	moneymaker
ringer.n.02	ringer
etymon.n.01	etymon
move.n.05	move
farewell.n.02	farewell
female.n.02	female
judiciary.n.01	judiciary
line.n.03	line
fatigue_duty.n.01	fatigue_duty
lease.n.03	lease
stop.n.05	stop
plane.n.04	plane
grant.n.05	Grant
jet.n.01	jet
boxing_glove.n.01	boxing_glove
polish.n.02	polish
metronome.n.01	metronome
heart.n.02	heart
copyist.n.01	copyist
suture.n.02	suture
reverse.n.01	reverse
queen.n.03	queen
hydra.n.02	Hydra
stone.n.12	Stone
fillet.n.05	fillet
button.n.01	button
cigarette.n.01	cigarette
fagot.n.01	fagot
cyanide.n.02	cyanide
intervention.n.01	intervention
carrot.n.03	carrot
return.n.05	return
tab_key.n.01	tab_key
radio_link.n.01	radio_link
music.n.02	music
dribbler.n.02	dribbler
extension.n.09	extension
hangman's_rope.n.01	hangman's_rope
egyptian_pound.n.01	Egyptian_pound
clutter.n.02	clutter
avocado.n.01	avocado
booth.n.03	Booth
mail.n.02	mail
lead.n.07	lead
race.n.02	race
color.n.08	color
stick.n.01	stick
air_force_officer.n.01	air_force_officer
loop.n.06	loop
agreement.n.06	agreement
parking_lot.n.01	parking_lot
depository.n.01	depository
wood.n.08	wood
resource.n.02	resource
convert.n.01	convert
immigrant.n.01	immigrant
fedora.n.01	fedora
haunch.n.01	haunch
machine.n.04	machine
press.n.06	press
skin.n.02	skin
pistol.n.01	pistol
system.n.04	system
bank.n.03	bank
cash_machine.n.01	cash_machine
clasp_knife.n.01	clasp_knife
wife.n.01	wife
habitat.n.01	habitat
medulla_oblongata.n.01	medulla_oblongata
field.n.10	field
set.n.01	set
iceboat.n.02	iceboat
claim.n.03	claim
feature.n.01	feature
wall.n.05	wall
console_table.n.01	console_table
estimate.n.01	estimate
resolving_power.n.01	resolving_power
lining.n.04	lining
rock_candy.n.01	rock_candy
miner.n.01	miner
collaboration.n.02	collaboration
concentration.n.05	concentration
speech.n.03	speech
informer.n.01	informer
bulk.n.02	bulk
view.n.10	view
raincoat.n.01	raincoat
fashion.n.03	fashion
watch.n.02	watch
ambrosia.n.04	ambrosia
graphic_designer.n.01	graphic_designer
crown.n.02	crown
fixer.n.01	fixer
express.n.03	express
vigil.n.02	vigil
nerd.n.02	nerd
labor_movement.n.01	labor_movement
figure.n.07	figure
fingerprint.n.02	fingerprint
census.n.01	census
scatter.n.01	scatter
practice.n.04	practice
cover_charge.n.01	cover_charge
spectator.n.01	spectator
note.n.02	note
association.n.04	association
rigger.n.01	rigger
grail.n.01	grail
offense.n.05	offense
photography.n.01	photography
chinchilla.n.01	chinchilla
denture.n.01	denture
change.n.06	change
register.n.03	register
material.n.04	material
crayon.n.01	crayon
history.n.04	history
volleyball.n.02	volleyball
jetliner.n.01	jetliner
hemoglobin.n.01	hemoglobin
fingermark.n.01	fingermark
hope.n.05	Hope
timecard.n.01	timecard
tendon.n.01	tendon
oxbow.n.01	oxbow
climb.n.02	climb
blaster.n.01	blaster
extension.n.01	extension
taste.n.04	taste
nuthatch.n.01	nuthatch
unit.n.02	unit
gland.n.01	gland
draw.n.05	draw
armor.n.03	armor
microwave.n.02	microwave
chef.n.01	chef
lemon.n.05	lemon
smoke.n.03	smoke
jowl.n.02	jowl
dribbler.n.01	dribbler
edge.n.05	edge
cheese.n.01	cheese
publisher.n.03	publisher
bundle.n.02	bundle
thing.n.02	thing
whetstone.n.01	whetstone
ambush.n.01	ambush
crow.n.01	crow
public_opinion.n.01	public_opinion
way.n.04	way
housemate.n.01	housemate
beacon.n.03	beacon
clapper.n.03	clapper
typography.n.02	typography
rose.n.01	rose
scarf.n.01	scarf
opening.n.12	opening
criterion.n.02	criterion
foreigner.n.02	foreigner
distributor_point.n.01	distributor_point
home_brew.n.01	home_brew
rubber.n.02	rubber
tablet.n.03	tablet
snub.n.02	snub
collar.n.08	collar
clove.n.03	clove
monotone.n.01	monotone
shovel.n.01	shovel
representation.n.08	representation
self-feeder.n.01	self-feeder
troop.n.03	troop
withdrawal.n.04	withdrawal
bladder.n.01	bladder
pull.n.03	pull
house.n.04	house
slave.n.03	slave
star.n.03	star
supplier.n.01	supplier
safety_valve.n.01	safety_valve
gram.n.01	gram
intervention.n.02	intervention
merging.n.01	merging
shunt.n.01	shunt
drink.n.01	drink
calculation.n.01	calculation
motion.n.04	motion
headboard.n.01	headboard
italic.n.03	italic
debris.n.01	debris
cannon.n.04	cannon
throne.n.03	throne
supergrass.n.01	supergrass
grapefruit.n.02	grapefruit
feeder.n.01	feeder
rhine_wine.n.01	Rhine_wine
seat.n.08	seat
season.n.01	season
construction.n.01	construction
lime.n.04	lime
jug.n.02	jug
scene.n.04	scene
reaction.n.07	reaction
governor.n.01	governor
electronic_mail.n.01	electronic_mail
starting_signal.n.01	starting_signal
general.n.02	general
moat.n.01	moat
hairball.n.01	hairball
ice_cream.n.01	ice_cream
page.n.01	page
prerequisite.n.01	prerequisite
shell.n.07	shell
hurl.n.01	hurl
stinger.n.02	stinger
encoding.n.01	encoding
section.n.04	section
box.n.02	box
plaster_of_paris.n.01	plaster_of_Paris
ma.n.01	ma
soundtrack.n.01	soundtrack
part.n.03	part
proscenium.n.01	proscenium
personnel_casualty.n.01	personnel_casualty
constituency.n.01	constituency
apostle.n.03	Apostle
buckskin.n.01	buckskin
spokesperson.n.01	spokesperson
bracelet.n.02	bracelet
ugandan_shilling.n.01	Ugandan_shilling
order.n.01	order
fireman.n.01	fireman
slope.n.01	slope
horizon.n.02	horizon
magic.n.01	magic
marathon.n.02	marathon
economic_rent.n.01	economic_rent
tutu.n.01	Tutu
necessity.n.02	necessity
kingdom.n.05	kingdom
career.n.01	career
upgrade.n.04	upgrade
